"EnsemblID","GeneSymbol","GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"ENSG00000152583","SPARCL1","SPARC like 1",997.444732611474,4.57496679447991,0.18424141551924,24.8313701975556,4.11066694065988e-136,7.41235462739789e-132,"Up"
"ENSG00000165995",NA,NA,495.095686525811,3.29109887177984,0.133052739467266,24.7352958304893,4.46338427009426e-135,4.02418725791698e-131,"Up"
"ENSG00000120129",NA,NA,3409.03835490143,2.94784977790562,0.121876435968093,24.1872003762676,3.03383938750752e-129,1.82353972785119e-125,"Up"
"ENSG00000101347","SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1",12703.4128252398,3.7670216577012,0.155991949340638,24.1488209720054,7.68265682076624e-129,3.46334169480142e-125,"Up"
"ENSG00000189221",NA,NA,2341.78067569054,3.35365484627101,0.142180986001116,23.5872245691467,5.21270551524156e-123,1.87991011701671e-119,"Up"
"ENSG00000211445",NA,NA,12285.7000547124,3.73043925959321,0.166398396754622,22.4187211676941,2.58505902046261e-111,7.7689640428303e-108,"Up"
"ENSG00000157214",NA,NA,3009.27287526155,1.97679565168817,0.0904251236815988,21.8611329595609,6.09134824600346e-106,1.56913130817049e-102,"Up"
"ENSG00000162614","NEXN","nexilin F-actin binding protein",5393.11454093552,2.03569683138975,0.0946846972575537,21.499744841053,1.56546224571252e-102,3.52855190183603e-99,"Up"
"ENSG00000125148","MT2A","metallothionein 2A",3656.26740037453,2.21100567872803,0.106090564170112,20.8407382506023,1.84964413262736e-96,3.70586477772629e-93,"Up"
"ENSG00000154734",NA,NA,30315.113170016,2.34563484246275,0.116359625478487,20.1584942613658,2.26675646418725e-90,4.08741525622246e-87,"Up"
"ENSG00000139132","FGD4","FYVE, RhoGEF and PH domain containing 4",1223.46315207371,2.22892888511734,0.113079591194316,19.7111508944805,1.72987627543663e-86,2.83573899987939e-83,"Up"
"ENSG00000162493","PDPN","podoplanin",1099.63807723644,1.89125078554915,0.0959942651190658,19.7017059634068,2.08475760452787e-86,3.13269576040388e-83,"Up"
"ENSG00000134243","SORT1","sortilin 1",5510.95647651194,2.19572522999998,0.112488189670884,19.5196067820471,7.48117665417008e-85,1.03769674944611e-81,"Up"
"ENSG00000179094",NA,NA,776.600164098613,3.19178842275828,0.164048734570795,19.4563428429304,2.5751826914908e-84,3.31683530664016e-81,"Up"
